,movies_titles,directeur,scenaristes,pays,vedettes,synopsis,notes,budget
31,American Pie 2,J.B. Rogers,"Adam Herz (characters), David H. Steinberg (story), Adam Herz (story), Adam Herz (screenplay)",USA,"Jason Biggs, Shannon Elizabeth, Alyson Hannigan, Chris Klein","The whole gang are back and as close as ever. They decide to get even closer by spending the summer together at a beach house. They decide to hold the biggest party ever to be seen, even if the preparation doesn't always go to plan. Especially when Stifler, Finch and Jim become more close to each other than they ever want to be and when Jim mistakes super glue for lubricant.",6.4,"$144,044,409"
32,17 Again,Burr Steers,Jason Filardi,USA,"Zac Efron, Leslie Mann, Thomas Lennon, Matthew Perry","At 17 Mike O'Donnell is on top of the world: he's the star of his high school basketball team, is a shoo-in for a college scholarship, and is dating his soul-mate, Scarlet. But at what's supposed to be his big game where a college scout is checking him out, Scarlet reveals that she's pregnant. Mike decides to leave the game and asks Scarlet to marry him, which she does. During their marriage, Mike can only whine about the life he lost because he married her, so she throws him out. When he also loses his job, he returns to the only place he's happy at, his old high school. While looking at his high school photo, a janitor asks him if he wishes he could be 17 again and he says yes. One night while driving he sees the janitor on a bridge ready to jump, and goes after him. When he returns to his friend Ned's house, where he has been staying, he sees that he is 17 again. He decides to take this opportunity to get the life he lost.",6.3,"$64,087,443"
33,A Beautiful Mind,Ron Howard,"Akiva Goldsman, Sylvia Nasar (book)",USA,"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer","From the heights of notoriety to the depths of depravity, John Forbes Nash, Jr. experienced it all. A mathematical genius, he made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a painful and harrowing journey of self-discovery. After many years of struggle, he eventually triumphed over his tragedy, and finally - late in life - received the Nobel Prize.",8.2,N/A
34,Over 18... and Ready!,Lloyd Allen,Don Lambert (screenplay),USA,"Mary McRea, Larry Martinelli, Margo Stevens, Michelle LeGrande","A teenage girl sets out to active fame in Hollywood as an actress, only a sleazy producer's wife has other plans for her.",4.3,N/A
35,Angel Eyes,Luis Mandoki,Gerald Di Pego,USA,"Jennifer Lopez, Jim Caviezel, Jeremy Sisto, Terrence Howard","While pursuing a suspect one night, Chicago Police officer Sharon Pogue nearly becomes the victim of a fatal ambush. A mysterious stranger, Catch intervenes, disarms the assassin and saves Sharon's life. Is it a stroke of luck? A twist of fate? Or just a concerned citizen who happened to pass by at the right time and wasn't afraid to get involved? Maybe, but Sharon and Catch have met once before. As the two fall in love, they discover the truth about each other and are forced to deal with the secrets from their past.",5.6,N/A
36,K-19: The Widowmaker,Kathryn Bigelow,"Louis Nowra (story), Christopher Kyle (screenplay)","UK, Germany, Canada, USA","Sam Spruell, Peter Stebbings, Christian Camargo, Roman Podhora","The story of USSR's first nuclear ballistic submarine, which suffered a malfunction in its nuclear reactor on its maiden voyage in the North Atlantic in 1961. The submarine's crew, led by the unyielding Captain Alexi Vostrikov, races against time to prevent a Chernobyl-like nuclear disaster which threatens not only the lives of his crew, but has the potential to ignite a world war between the super powers.",6.7,"$35,100,183"
37,A Knight's Tale,Brian Helgeland,Brian Helgeland,USA,"Heath Ledger, Rufus Sewell, Shannyn Sossamon, Paul Bettany","Inspired by ""The Canterbury Tales,"" as well as the early life of William Marshall (later First Earl of Pembroke), this is the story of William, a young squire with a gift for jousting. After his master dies suddenly, the squire hits the road with his cohorts Roland and Wat. On the journey, they stumble across an unknown writer, Chaucer. William, lacking a proper pedigree, convinces Chaucer to forge genealogy documents that will pass him off as a knight. With his newly-minted history in hand, the young man sets out to prove himself a worthy knight at the country's jousting competition, and finds romance along the way.",6.9,"$55,001,689"
38,20.000 Besos,Sebastián De Caro,Sebastian Rotstein,Argentina,"Carla Quevedo, Eduardo Blanco, Clemente Cancela, Walter Cornás","Juan is a thirty who is bored with her current life. Time ago that you don't see your friends and only is dedicated to work - in a boring place - and to groom. Overwhelmed a day routine, ...",5.8,N/A
39,Antwone Fisher,Denzel Washington,Antwone Fisher,USA,"Derek Luke, Malcolm David Kelley, Cory Hodges, Denzel Washington","A sailor prone to violent outbursts is sent to a naval psychiatrist for help. Refusing at first to open up, the young man eventually breaks down and reveals a horrific childhood. Through the guidance of his doctor, he confronts his painful past and begins a quest to find the family he never knew.",7.3,"$20,813,967"
40,Sto je Iva snimila 21. listopada 2003.,Tomislav Radic,"Tomislav Radic, Ognjen Svilicic",Croatia,"Anja Sovagovic-Despot, Ivo Gregurevic, Boris Svrtan, Masha Mati Prodan","Iva is a girl who receives a small digital video camera for her fourteenth birthday. Delighted by her new toy, the girl immediately starts taping everything around her, recording a series of events surrounding her birthday celebration on her first tape. These ninety minutes form the film What Iva Recorded on October 21st, 2003.",7.3,N/A
41,About a Boy,"Chris Weitz, Paul Weitz","Nick Hornby (novel), Peter Hedges (screenplay), Chris Weitz (screenplay), Paul Weitz (screenplay)","UK, USA, France, Germany","Hugh Grant, Nicholas Hoult, Sharon Small, Madison Cook","Twelve year old Marcus Brewer lives with his chronically depressed single mother, Fiona Brewer. Both Fiona and Marcus beat to their own respective drummers. Marcus will do whatever he can to make his depressed mother happy, even if it causes himself grief. As such, he realizes that he is perceived as different than most kids, as even the self-professed weird kids don't want to hang out with him as he is the target of bullying. Part of the taunts against him are the fact that he sings and speaks to himself without even realizing that he is doing it. Meanwhile, thirty-eight year old Will Freeman is a slacker who has lived comfortably off the royalties of a song written by his deceased father, and as such has never had to work a day in his life. He is a solitary man who places himself as the first and only priority in life. He comes across the idea that dating single moms meets his selfish carnal needs. It is in this capacity that Will meets Marcus, as one of Will's single mother conquests, Suzie, is friends with the Brewers. Trying to escape his life but wanting Will to date Fiona, Marcus infiltrates Will's life, much to Will's chagrin. Will slowly begins to realize that Marcus is more than just a nuisance, but rather someone who needs some guidance navigating through the trials of adolescence and the trials of dealing with a suicidal mother, and perhaps he can be a small part of providing that direction. Conversely, Marcus may be able to show Will the path to becoming a real adult.",7.0,"$40,566,655"
42,11.22.63,N/A,N/A,USA,"James Franco, Sarah Gadon, George MacKay, Chris Cooper","A teacher discovers a time portal that leads to October 21st, 1960 and goes on a quest to try and prevent the assassination of John F. Kennedy, which is complicated by the presence of Lee Harvey Oswald and the fact that he's falling in love with the past itself.",8.2,
43,Analyze That,Harold Ramis,"Kenneth Lonergan (characters), Peter Tolan (characters), Peter Steinfeld, Harold Ramis, Peter Tolan",USA,"Robert De Niro, Billy Crystal, Lisa Kudrow, Joe Viterelli","The mafia's Paul Vitti is back in prison and will need some serious counseling when he gets out. Naturally, he returns to his analyst Dr. Ben Sobel for help and finds that Sobel needs some serious help himself as he has inherited the family practice, as well as an excess stock of stress.",5.9,"$32,070,920"
44,The Number 23,Joel Schumacher,Fernley Phillips,USA,"Jim Carrey, Virginia Madsen, Logan Lerman, Danny Huston","On his birthday, Walter Sparrow, an amiable dog-catcher, takes a call that leaves him dog bit and late to pick up his wife. She's browsed in a bookstore, finding a blood-red-covered novel, a murder mystery with numerology that loops constantly around the number 23. The story captivates Walter: he dreams it, he notices aspects of his life that can be rendered by ""23,"" he searches for the author, he stays in the hotel (in room 23) where events in the novel took place, and he begins to believe it was no novel. His wife and son try to help him, sometimes in sympathy, sometimes to protect him. Slowly, with danger to himself and to his family, he closes in on the truth.",6.4,"$35,063,732"
