,movies_titles,directeur,scenaristes,pays,vedettes,synopsis,notes,budget
10,Amulet,Oliver Bahúl,"Oliver Bahúl, Marta Stancíková",Slovakia,"Maximilián Mravcák, Matús Kruzliak, Matús Blstak, Rebecca Cepková",N/A,N/A,N/A
11,Tenet,Christopher Nolan,Christopher Nolan,"USA, UK","Robert Pattinson, Elizabeth Debicki, Aaron Taylor-Johnson, Kenneth Branagh","Armed with only one word -- Tenet -- and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",N/A,N/A
12,,,,,,,,
13,Summerland,N/A,"Stephen Tolkin, Lori Loughlin",USA,"Lori Loughlin, Merrin Dungey, Ryan Kwanten, Jesse McCartney","Bradin, Nikki and Derrick are 3 kids from an average normal Kansas household. Their whole life is thrown upside-down when their parents are tragically killed in a car accident. Ava Gregory (their aunt) gets custody of her niece and nephews and they move into her Californian home (in Summerland). Ava, a struggling clothes designer, lives with her best friend and business partner, Susannah Rexford, her friend, an ex- pro.surfer, Jay Robertson and her ex-boyfriend, real estate agent, Johnny Durrant. All four of them are highly unequipped to handle children and are not use to including them in their everyday lives. The series follows each of their struggles through life. Ava is trying to get her fashion line to take off. Whilst also fighting feelings for Johnny, her childhood sweetheart. And now trying to bring up her sisters 3 children up as well as possible. Johnny is forever trying to fight his feelings for Ava, knowing he ruined that relationship long ago. Johnny is the father figure to the children. Jay owns a surf shop, and is trying to win back ex-girlfriend and teenage love, Erica Spaulding. He acts as the cool big brother type to the 3 children and he and Bradin develop a close relationship. Bradin is growing up and finding himself led astray very easily in the teenage world. He drinks, takes drugs and gets arrested, after getting involved with a 'bad-apple' Sara, who he then helps into getting her life back on track. Later he falls in love with Callie- only to get hurt again. He discovers a passion for surfing and becomes very good, whilst falling for his coach, Erica Spaulding. Nikki is at an awkward age of 13 and trying to fit in to the Californian teenage world. She is very bright and enjoys reading books and writing poetry- not the popular shopping and clothes. Early on Nikki meets a boy, Cameron Bale, and they develop a strong relationship, and ultimately, fall in love. Derrick takes to Johnny immediately and the two develop a good friendship. He,in turn, finds his ""one soul mate"" in a little girl called Martha. The show is basically a fun show of sun, sea and sand mixed with great storyline, emotional inputs and will leave you wanting more. Great cast, excellent chemistry, and beautiful scenery.",6.9,
14,The Empty Man,Jeff Edmond,N/A,USA,N/A,"A character driven story about two brothers. Michael Strum, a banker and family man, is made executor of his Mom's will. He is in charge of giving his younger brother David, an attempted suicide survivor and alcoholic, one thousand dollars a month from the estate. As David works out his demons to a clueless therapist, Michael keeps his demons below the surface. When Michael loses his job his calm demeanor slowly gives way to his true self.",N/A,N/A
15,Capel Green,Dion M Johnson,Dion M Johnson,N/A,"Max Easton, Adam Hillier, Emma Von Schreiber, Remy Bataille","Capel Green is a powerful, independent feature length documentary film about the myriad of strange occurrences which took place in and around Rendlesham Forest, close to the twin US Air ...",N/A,N/A
16,Bill,Richard Bracewell,"Laurence Rickard, Ben Willbond",UK,"Mathew Baynton, Simon Farnaby, Martha Howe-Douglas, Jim Howick","A down on his luck William ""Bill"" Shakespeare decides to pursue his latest dream: to be an aspiring writer. His adventure soon becomes dangerous when he is caught between a act of murder.",6.5,"$381,541"
17,The Sound of Metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,Fatima,Philippe Faucon,"Philippe Faucon (scenario), Aziza Boudjellal (scenario consultant), Mustapha Kharmoudi (scenario consultant), Yasmina Nini-Faucon (scenario consultant), Fatima Elayoubi (books)","France, Canada","Soria Zeroual, Zita Hanrot, Kenza Noah Aïche, Chawki Amari","Fatima lives on her own with two daughters to support: 15-year old Souad, a teenager in revolt, and 18-year old Nesrine, who is starting medical school. Fatima speaks French poorly and is constantly frustrated by her daily interactions with her daughters. Her pride and joy, they are also a source of worry. To ensure the best possible future for them, she works odd hours as a cleaning woman. One day, she takes a fall on the stairs. On leave, Fatima begins to write to her daughters in Arabic that which she has never been able to express in French.",6.4,"$49,086"
19,Greenland,Oren Gerner,Oren Gerner,Israel,"Maya Gerner, Meir Gerner, Oren Gerner","Oren (27) comes to his parents' house to pack his belongings before moving with his girlfriend to their new apartment. During this day, out of seemingly simple interactions, the family dynamics reveals itself, and exposes the protagonist's place- between child and adult, between intimacy and Alienation. The house constitutes the space in which past, present and future mix into a chronicle of separation.",6.2,N/A
20,Antebellum,"Gerard Bush, Christopher Renz","Gerard Bush, Christopher Renz",USA,"Janelle Monáe, Eric Lange, Jena Malone, Jack Huston",Successful author Veronica Henley finds herself trapped in a horrifying reality and must uncover the mind-bending mystery before it's too late.,N/A,N/A
21,Let Him Go,Francis X. Lord,"Nigel Goodwin (story by), Francis X. Lord",UK,"Kym Veldman, Kathryn Rigby, Nigel Goodwin, Noel Ross","A girl wakes beside her father who is being left kept alive on life support. Her mother is there with a doctor but also, more alarmingly, a priest.",7.8,N/A
22,Chemical Hearts,Richard Tanne,"Richard Tanne (screenplay), Krystal Sutherland (novel)",USA,"Lili Reinhart, Sarah Jones, Austin Abrams, Bruce Altman",A high school transfer student finds a new passion when she begins to work on the school's newspaper.,N/A,N/A
23,The New Mutants,Josh Boone,"Josh Boone, Knate Lee, Chris Claremont (based on the Marvel comics by), Bob McLeod (based on the Marvel comics by), Len Wein (character created by: Magik), Dave Cockrum (character created by: Magik)",USA,"Maisie Williams, Anya Taylor-Joy, Charlie Heaton, Blu Hunt","Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",N/A,N/A
24,The Courier,Hany Abu-Assad,"Brannon Coombs, Pete Dris",USA,"Jeffrey Dean Morgan, Josie Ho, Til Schweiger, Miguel Ferrer",A specialist carrier is hired to deliver a mysterious case to the underworld's most dangerous hitman.,4.5,N/A
25,Rocket Hunter,Christopher Forbes,Christopher Forbes (Writer),USA,"Brad Owens, Scotty Sparks, Bob Young, William Wylie","In one of the most dangerous missions of the war, an American B-17 pilot volunteers to fly a surrendered Messerschmidt 109 on a daring flight through the heart of Germany to try to prevent ...",1.8,N/A
26,Monster Hunter,Paul W.S. Anderson,"Paul W.S. Anderson, Kaname Fujioka (video game series)","China, Germany, Japan, USA","Milla Jovovich, Tony Jaa, T.I., Meagan Good","When Lt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom.",N/A,N/A
27,A Quiet Place Part II,John Krasinski,"Scott Beck (characters), John Krasinski, Bryan Woods (characters)",USA,"Emily Blunt, Millicent Simmonds, Cillian Murphy, Noah Jupe","Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",N/A,N/A
28,Honest Thief,Mark Williams,"Steve Allrich, Mark Williams",USA,"Liam Neeson, Kate Walsh, Jai Courtney, Jeffrey Donovan","A bank robber tries to turn himself in because he's falling in love and wants to live an honest life...but when he realizes the Feds are more corrupt than him, he must fight back to clear his name.",N/A,N/A
29,The Killing of Two Lovers,Robert Machoian,N/A,USA,"Sepideh Moafi, Clayne Crawford, Chris Coy, Barbara Whinnery",David desperately tries to keep his family of six together during a separation from his wife. They both agree to see other people but David struggles to grapple with his wife's new relationship.,N/A,N/A
30,The Conjuring: The Devil Made Me Do It,Michael Chaves,"David Leslie Johnson-McGoldrick (screenplay by), David Leslie Johnson-McGoldrick (story), James Wan (story)",USA,"Vera Farmiga, Patrick Wilson, Julian Hilliard, Mitchell Hoog",Plot unknown. Third installment of the Conjuring franchise.,N/A,N/A
31,2 Hearts,Lance Hool,"Veronica Hool, Robin U. Russin",USA,"Radha Mitchell, Jacob Elordi, Kari Matchett, Tiera Skovbye","For two couples the future unfolds in different decades and different places, but a hidden connection will bring them together in a way no one could have predicted.",N/A,N/A
32,Malibu Road,Montgomery Markland,"Montgomery Markland, Emilia Bogdanova, Ryan Placchetti",USA,"Jessica Jade Andres, Benita Robledo, Emilia Bogdanova, Ryan Caldwell","Dr. Raymond Forrester, professor of psychology at UCLA, takes student and Hollywood starlet Dorothy Crowder to a Malibu hotel of questionable reputation. The two ingest LSD, sent in a mysterious package to Forrester, and become some of the first Americans to go on a psychedelic experience. The experience takes a turn for the deadly during New Year's Eve 1960 and now the duo must rediscover reality or be trapped in an endless cycle of sex, drugs and murder in 'paradise.'",6.8,N/A
33,Infidel,George Milton,Mark Tilton,UK,"William Beck, Jo Bourne-Taylor, Elize du Toit, Orla Fitzgerald",Chicken a l'Orange with a dash of Hitler makes for a chilling dinner party.,6.8,N/A
34,Shakespeare: The King's Man,N/A,N/A,UK,"James Shapiro, Greg Hicks, Kelly Hunter, Dora Thornton",Shakespeare's life and work are sometimes romanticized as a product of the golden age of Elizabeth I. But the bard produced some of his finest plays after the Virgin Queen's death. In this ...,7.0,
35,Kajillionaire,Miranda July,Miranda July,USA,"Evan Rachel Wood, Gina Rodriguez, Debra Winger, Richard Jenkins",A woman's life is turned upside down when her criminal parents invite an outsider to join them on a major heist they're planning.,6.2,N/A
36,Candyman,Bernard Rose,"Clive Barker (based on ""The Forbidden"" by), Bernard Rose","USA, UK","Virginia Madsen, Tony Todd, Xander Berkeley, Kasi Lemmons","Helen Lyle is a student who decides to write a thesis about local legends and myths. She visits a part of the town, where she learns about the legend of the Candyman, a one-armed man who appears when you say his name five times, in front of a mirror. Of course, Helen doesn't believe all this stuff, but the people of the area are really afraid. When she ignores their warnings and begins her investigation in the places that he is rumored to appear, a series of horrible murders begins. Could the legend be true?",6.6,N/A
37,The Glorias,Julie Taymor,"Sarah Ruhl, Gloria Steinem (book), Julie Taymor (screenplay by)",USA,"Alicia Vikander, Janelle Monáe, Lulu Wilson, Julianne Moore","The story of feminist icon Gloria Steinem's itinerant childhood's influence on her life as a writer, activist and organizer for women's rights worldwide.",5.4,N/A
38,Ava,Léa Mysius,"Léa Mysius (scenario), Paul Guilhaume (collaboration)",France,"Noée Abita, Laure Calamy, Juan Cano, Tamara Cano","Ava, 13, is spending the summer on the Atlantic coast when she learns that she will lose her sight sooner than expected. Her mother decides to act as if everything were normal so as to spend their best summer ever. Ava confronts the problem in her own way. She steals a big black dog that belongs to a young man on the run...",6.7,N/A
39,,,,,,,,
40,Wonder Woman 1984,Patty Jenkins,"Geoff Johns (story), Patty Jenkins (story), Dave Callaham (screenplay), Geoff Johns (screenplay), Patty Jenkins (screenplay), William Moulton Marston (Wonder Woman created by)","USA, South Korea, Spain","Pedro Pascal, Connie Nielsen, Gal Gadot, Robin Wright",Plot unknown. A sequel to the 2017 superhero film 'Wonder Woman.',N/A,N/A
41,Tom Clancy's Without Remorse,Stefano Sollima,"Tom Clancy (based on the novel by), Taylor Sheridan (screenplay)",USA,"Michael B. Jordan, Jamie Bell, Cam Gigandet, Luke Mitchell","John Clark, a Navy SEAL, goes on a path to avenge his wife's murder only to find himself inside of a larger conspiracy.",N/A,N/A
42,Do Not Reply,"Daniel Woltosz, Walter Woltosz","Daniel Woltosz, Walter Woltosz",USA,"Jackson Rathbone, Amanda Arcuri, Kerri Medders, Elise Luthman","Chelsea, a high school introvert, is abducted through a social media app and is forced to look like other girls Brad holds captive. Chelsea desperately attempts to persuade them to escape ...",7.5,N/A
43,Death on the Nile,John Guillermin,Anthony Shaffer (screenplay),UK,"Peter Ustinov, Jane Birkin, Lois Chiles, Bette Davis","Based on the Agatha Christie novel, our favourite Belgian detective, Hercule Poirot, is on a cruise up the Nile. He is surrounded by an interesting assortment of characters, including a wealthy heiress and her husband, on their honeymoon. It appears that everyone hates the heiress...",7.3,N/A
44,Halloween Kills,David Gordon Green,"John Carpenter (based on characters created by), David Gordon Green, Debra Hill (based on characters created by), Danny McBride, Scott Teems",USA,"Jamie Lee Curtis, Anthony Michael Hall, Judy Greer, Kyle Richards",The saga of Michael Myers and Laurie Strode continues in the next thrilling chapter of the Halloween series.,N/A,N/A
45,The French Dispatch,Wes Anderson,"Wes Anderson (screenplay by), Wes Anderson (story), Jason Schwartzman (story), Roman Coppola (story), Hugo Guinness (story)","Germany, USA","Elisabeth Moss, Timothée Chalamet, Saoirse Ronan, Tilda Swinton","A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".",N/A,N/A
46,The Trial of the Chicago 7,Aaron Sorkin,Aaron Sorkin (screenplay),"USA, UK, India","Eddie Redmayne, Alex Sharp, Sacha Baron Cohen, Jeremy Strong","The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",N/A,N/A
47,Snake Eyes: G.I. Joe Origins,Robert Schwentke,Evan Spiliotopoulos,USA,"Henry Golding, Andrew Koji, Úrsula Corberó, Steven Allerick",A G.I. Joe spin-off centered around the character of Snake Eyes.,N/A,N/A
48,Connected,Benny Chan,"Alan Yuen (screenplay adaptation), Benny Chan (screenplay adaptation), Xu Bing (screenplay adaptation), Larry Cohen (original story), Chris Morgan","China, Hong Kong","Louis Koo, Barbie Hsu, Nick Cheung, Ye Liu",A man receives a distressing phone call from a woman who has been kidnapped.,6.6,N/A
49,Those Who Wish Me Dead,Taylor Sheridan,"Michael Koryta (based on the novel by), Michael Koryta (screenplay), Taylor Sheridan (screenplay)","USA, Canada","Nicholas Hoult, Angelina Jolie, Jon Bernthal, Aidan Gillen",A teenage murder witness finds himself pursued by twin assassins in the Montana wilderness with a survival expert tasked with protecting him -- and a forest fire threatening to consume them all.,N/A,N/A
50,The Furies,Anthony Mann,"Charles Schnee (screenplay), Niven Busch (from a novel by)",USA,"Barbara Stanwyck, Wendell Corey, Walter Huston, Judith Anderson","The 1870s, New Mexico territory: T.C. Jeffords is a cattle baron who built his ranch, the Furies, from scratch. He borrows from banks, pays hired hands with his own script (""T.C.'s""), and carries on low-level warfare with the Mexicans who settled the land but are now considered squatters. He has enemies, including Rip Darrow, a saloon owner who's father T.C. took land from. His headstrong daughter, Vance, has a life-long friend in one of the Mexicans, her heart set on Rip, and dad's promise she'll run the Furies someday. Her hopes are smashed by Rip's revenge, a gold-digger who turns T.C.'s head, and T.C.'s own murderous imperialism. Is Vance to be cursed by fury and hatred?",7.3,N/A
51,Black Widow,Bob Rafelson,Ronald Bass,USA,"Debra Winger, Theresa Russell, Sami Frey, Dennis Hopper","Catherine is a black widow. ""She mates and then she kills"". Black Widow is the story of a lady (Catherine) who marries lonely millionaires, waits until they've changed their will to leave all to their beloved wives and then murders them to inherit the fortune. With each man Catherine marries, she changes her appearance to suit the mans personality. Only there's one problem. Alexandra is a smart cookie and has found a link between these unexplained mysterious deaths and the partners wives. But now her only problem is proving that a killer is on the loose and saving herself from the deadly Black Widow.",6.3,N/A
52,Stillwater,Nino Aldi,"Nino Aldi, Jay Ostrowski (story by), Joseph Rein",USA,"Tyler Ritter, Carlena Britch, Eric Michael Roy, Paul Elia","A weekend camping trip among six old friends in Northern Minnesota's ""Boundary Waters"" turns tragic after one dies under mysterious circumstances, triggering further turmoil as they attempt to unmask the killer within their own group.",5.1,N/A
53,Deep Water,"Louise Osmond, Jerry Rothwell",N/A,UK,"Jean Badin, Simon Russell Beale, Clare Crowhurst, Donald Crowhurst",A documentary about the disastrous 1968 round-the-world yacht race.,7.8,N/A
54,Clifford the Big Red Dog,N/A,N/A,"UK, USA","John Ritter, Grey Griffin, Cree Summer, Kel Mitchell",The adventures of a larger-than-life red dog on Bridwell Island.,6.6,
55,Night Walk,Jerrold Freedman,"Renee Longstreet, Harry Longstreet",USA,"Robert Urich, Lesley-Anne Down, Mark Joy, Michael Alldredge",N/A,5.9,N/A
56,No Time to Die,King Ampaw,"King Ampaw, Klaus Bädekerl","Germany, Ghana","Fritz Baffour, Kofi Bucknor, Agnes Dapaa, David Dontoh","Asante, a hearse driver in Ghana, wants a wife. His profession puts most women off. He falls in love with a client whose mother has died, and manages to win her over. But her father forbids marriage to a hearse driver. Asante persists and becomes the first hearse driver in Accra to get married.",7.6,N/A
57,Soul Surfer,Sean McNamara,"Sean McNamara (screenplay), Deborah Schwartz (screenplay), Douglas Schwartz (screenplay), Michael Berk (screenplay), Sean McNamara (screen story), Deborah Schwartz (screen story), Douglas Schwartz (screen story), Michael Berk (screen story), Matt Allen (screen story), Caleb Wilson (screen story), Brad Gann (screen story), Bethany Hamilton (book), Sheryl Berk (book), Rick Bundschuh (book)",USA,"AnnaSophia Robb, Helen Hunt, Dennis Quaid, Carrie Underwood","13 year-old Bethany Hamilton is a champion surfer who was born to be in the water. But after a fun night out night surfing and what should be a fun day in the water, she is attacked by a shark and loses her arm. Rushed to the hospital, she remains calm, and maintains her faith in God. Now she has to re-learn how to do everything with only one arm - including how to surf. It will take her friends, family, and her Christian faith to get her back into the water, but if that is where she is meant to be, she will find a way to get there.",7.0,"$43,853,424"
58,Happiest Season,Clea DuVall,"Clea DuVall, Mary Holland",USA,"Alison Brie, Dan Levy, Kristen Stewart, Mackenzie Davis",A young woman with a plan to propose to her girlfriend while at her family's annual holiday party discovers her partner hasn't yet come out to her conservative parents.,N/A,N/A
59,Voyagers,Santiago Menghini,N/A,Canada,N/A,Travel along with the Voyager spacecrafts as they traverse the solar system on their planetary expedition spanning over three decades.,7.7,N/A
60,Spider-Man 4: Fan Film,"Cheyanne Beatty, Erik Franklin, Joanne Hier","Steve Ditko (comic book), Bryn Clayton Jones (Screen Play), Bryn Clayton Jones (Story), William McCarthy (Screenplay), Harley Pettus (Story)",USA,"Bryn Clayton Jones, Leona Britt, Tommy Lee Driver, Alice Bridgforth",Spider-Man returns to face his greatest challenge yet as he faces off against The Vulture.,N/A,N/A
61,Free Guy,Shawn Levy,"Matt Lieberman (screenplay by), Matt Lieberman (story by), Zak Penn (screenplay by)",USA,"Jodie Comer, Taika Waititi, Ryan Reynolds, Joe Keery","A bank teller discovers that he's actually an NPC inside a brutal, open world video game.",N/A,N/A
62,Dune,David Lynch,"Frank Herbert (novel), David Lynch (screenplay)","USA, Mexico","Francesca Annis, Leonardo Cimino, Brad Dourif, José Ferrer","In the far future, a duke and his family are sent by the Emperor to a sand world from which comes a spice that is essential for interstellar travel. The move is designed to destroy the duke and his family, but his son escapes and seeks revenge as he uses the world's ecology as one of his weapons.",6.5,N/A
63,West Side Story,"Jerome Robbins, Robert Wise","Ernest Lehman (screenplay), Arthur Laurents (book), Jerome Robbins (play)",USA,"Natalie Wood, Richard Beymer, Russ Tamblyn, Rita Moreno","West Side Story is the award-winning adaptation of the classic romantic tragedy, ""Romeo and Juliet"". The feuding families become two warring New York City gangs- the white Jets led by Riff and the Puerto Rican Sharks, led by Bernardo. Their hatred escalates to a point where neither can coexist with any form of understanding. But when Riff's best friend (and former Jet) Tony and Bernardo's younger sister Maria meet at a dance, no one can do anything to stop their love. Maria and Tony begin meeting in secret, planning to run away. Then the Sharks and Jets plan a rumble under the highway - whoever wins gains control of the streets. Maria sends Tony to stop it, hoping it can end the violence. It goes terribly wrong, and before the lovers know what's happened, tragedy strikes and doesn't stop until the climactic and heartbreaking ending.",7.5,N/A
64,Coming 2 America,Craig Brewer,"Kenya Barris (screenplay), Barry W. Blaustein (earlier screenplay), Eddie Murphy (characters), David Sheffield (earlier screenplay)",USA,"Eddie Murphy, Arsenio Hall, Jermaine Fowler, Leslie Jones",Akeem learns he has a long-lost son in the United States and must return to America to meet the unlikely heir to the throne of Zamunda. A sequel to the 1988 comedy 'Coming to America'.,N/A,N/A
65,Top Gun: Maverick,Joseph Kosinski,"Ehren Kruger (screenplay by), Eric Warren Singer (screenplay by), Christopher McQuarrie (screenplay by), Peter Craig (story by), Justin Marks (story by), Jim Cash (based on characters created by), Jack Epps Jr. (based on characters created by)","USA, China","Jennifer Connelly, Tom Cruise, Val Kilmer, Jon Hamm","After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.",N/A,N/A
66,The Croods 2,Joel Crawford,"Kirk DeMicco (creator), Dan Hageman (screenplay), Kevin Hageman (screenplay), Chris Sanders (creator)",USA,"Nicolas Cage, Ryan Reynolds, Emma Stone, Leslie Mann","The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.",N/A,N/A
67,News of the World,Paul Greengrass,"Luke Davies (adaptation), Paulette Jiles (based on the novel by)",USA,"Tom Hanks, Neil Sandilands, Chukwudi Iwuji, Helena Zengel","A Texan traveling across the wild West bringing the news of the world to local townspeople, agrees to help rescue a young girl who was kidnapped.",N/A,N/A
68,Curse of the Nun,Aaron Mirtes,Aaron Mirtes,USA,"Lacy Hartselle, Rae Hunt, Kate Kilcoyne, Alice Raver","A damaged young woman is looking forward to moving to a beautiful new home, but the spirit of a deranged nun wants her to stay right where she is.",2.8,N/A
69,Escape Room 2,Adam Robitel,"Fritz Böhm, Will Honley, Christine Lavaf, Maria Melnik, Bragi F. Schut, Daniel Tuch",USA,"Logan Miller, Isabelle Fuhrman, Thomas Cocquerel, Holland Roden",Plot Unknown.,N/A,N/A
70,The Last Duel,Yun Ling,Lung Ku (story),Taiwan,"Barry Chan, Yun Ling, Nora Miao, Peng Chang",N/A,4.1,N/A
71,Mortal Kombat,Paul W.S. Anderson,"Ed Boon (video games), John Tobias (video games), Kevin Droney",USA,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa","Based on the popular video game of the same name ""Mortal Kombat"" tells the story of an ancient tournament where the best of the best of different Realms fight each other. The goal - ten wins to be able to legally invade the losing Realm. Outworld has so far collected nine wins against Earthrealm, so it's up to Lord Rayden and his fighters to stop Outworld from reaching the final victory...",5.8,N/A
72,Cash Truck,Guy Ritchie,"Ivan Atkinson (Writer), Nicolas Boukhrief (motion picture ""Le Convoyeur""), Marn Davies (Writer), Guy Ritchie (screenplay by)",USA,"Jason Statham, Josh Hartnett, Scott Eastwood, Jeffrey Donovan","The plot follows H, a cold and mysterious character working at a cash truck company responsible for moving hundreds of millions of dollars around Los Angeles each week.",N/A,N/A
73,Peter Rabbit 2: The Runaway,Will Gluck,"Beatrix Potter (based on the characters and tales of ""Peter Rabbit"" by), Will Gluck (screenplay), Patrick Burleigh (screenplay by)","Australia, India, USA, UK, Canada","James Corden, Elizabeth Debicki, Lennie James, Margot Robbie","Thomas and Bea are now married and living with Peter and his rabbit family. Bored of life in the garden, Peter goes to the big city, where he meets shady characters and ends up creating chaos for the whole family.",N/A,N/A
74,355,Simon Kinberg,Theresa Rebeck,USA,"Jessica Chastain, Lupita Nyong'o, Penélope Cruz, Diane Kruger",A spy thriller movie with a diverse female cast playing international agents.,N/A,N/A
75,Chaos Walking,Doug Liman,"Charlie Kaufman (screenplay by), Lindsey Beer (screenplay by), John Lee Hancock (screenplay by), Gary Spinelli (screenplay by), Patrick Ness (screenplay by), Patrick Ness (based on the novel by), Andrew Gottlieb, David Rosen",USA,"Daisy Ridley, Tom Holland, Cynthia Erivo, Mads Mikkelsen","In Prentisstown, Todd has been brought up to believe that the Spackle released a germ that killed all the women and unleashed Noise on the remaining men. After discovering a patch of silence out in the swamp, his surrogate parents immediately tell him that he has to run, leaving him with only a map of New World, a message, and many unanswered questions. He soon discovers the source of the silence: a girl, named Viola. The two must hurry to warn an incoming ship of settlers as Mayor Prentiss prepares an army for war.",N/A,N/A
76,Everybody's Talking About Jamie,Jonathan Butterell,"Dan Gillespie Sells (music), Tom MacRae",UK,"John McCrea, Josie Walker, Tamsin Carroll, Daniel Davids",Jamie is 16 and lives on a council estate in Sheffield. He doesn't quite fit in. He is terrified about the future. He is going to be a sensation. Supported by his brilliant loving mum and ...,8.9,N/A
77,Rumble,Jani Volanen,"Jari Nissinen (screenplay), Jari Nissinen (story), Jani Volanen (screenplay)",Finland,"Vesa-Matti Loiri, Jari Nissinen, Tommi Korpela, Jari Pehkonen",N/A,7.1,N/A
78,The Little Things,Gary Hawes,Gary Hawes,Canada,"Alisen Down, Ioan Gruffudd, Aaron Douglas, Alistair Abell","After a failed suicide attempt, Claire has nothing better to do than go to work. During a cigarette break, she meets Simon, a man with a few issues of his own.",6.6,N/A
